,date,dji
377,2023-08-03,10012258.333800064
378,2023-08-04,10022377.487782784
379,2023-08-07,9992641.221428337
380,2023-08-08,10055169.725304864
381,2023-08-09,10049162.241620416
382,2023-08-10,10022778.653452424
383,2023-08-11,9988589.559291175
384,2023-08-14,10034826.958688604
385,2023-08-15,10019317.071566178
386,2023-08-16,9932717.516248876
387,2023-08-17,9908436.436244218
388,2023-08-18,9777218.590617213
389,2023-08-21,9823567.11623892
390,2023-08-22,9813010.124932546
391,2023-08-23,9768749.661065016
392,2023-08-24,9797550.244611045
393,2023-08-25,9734176.070167765
394,2023-08-28,9798065.870291693
395,2023-08-29,9823521.554486966
396,2023-08-30,9913611.584508827
397,2023-08-31,9931047.289097983
398,2023-09-01,9921701.573636238
399,2023-09-05,9912308.073898051
400,2023-09-06,9846439.115719737
401,2023-09-07,9772331.259273484
402,2023-09-08,9811086.5299903
403,2023-09-11,9857343.9321081
404,2023-09-12,9848811.660608064
405,2023-09-13,9862256.822483413
406,2023-09-14,9868008.715852022
407,2023-09-15,9929041.460749773
408,2023-09-18,9846612.47262961
409,2023-09-19,9835105.352105664
410,2023-09-20,9836146.604827145
411,2023-09-21,9766940.526133776
412,2023-09-22,9694353.987697883
413,2023-09-25,9646137.430246068
414,2023-09-26,9633361.248240871
415,2023-09-27,9582190.955747759
416,2023-09-28,9535715.746230377
417,2023-09-29,9639030.908203516
418,2023-10-02,9517525.494578375
419,2023-10-03,9478647.98501485
420,2023-10-04,9397666.971597027
421,2023-10-05,9416172.821725976
422,2023-10-06,9399521.66828022
423,2023-10-09,9461863.48009996
424,2023-10-10,9582362.090133147
425,2023-10-11,9621845.237618983
426,2023-10-12,9628516.144862369
427,2023-10-13,9596566.244120311
428,2023-10-16,9624753.410908328
429,2023-10-17,9635398.191931881
430,2023-10-18,9661118.356540935
431,2023-10-19,9578410.441597836
432,2023-10-20,9491856.448032489
433,2023-10-23,9385957.601344895
434,2023-10-24,9413444.672919963
435,2023-10-25,9445844.634870343
436,2023-10-26,9392828.535791978
437,2023-10-27,9326039.452476647
438,2023-10-30,9256381.09005047
439,2023-10-31,9396224.553205904
440,2023-11-01,9411234.37231908
441,2023-11-02,9518185.584350582
442,2023-11-03,9669248.351109084
443,2023-11-06,9698772.36637516
444,2023-11-07,9693947.265717026
445,2023-11-08,9725318.198830597
446,2023-11-09,9718999.561718171
447,2023-11-10,9678349.58887742
448,2023-11-13,9746178.81365199
449,2023-11-14,9837767.936439356
450,2023-11-15,9930372.75291662
451,2023-11-16,9919366.811664164
452,2023-11-17,9946901.66751567
453,2023-11-20,9937703.749932213
454,2023-11-21,9986734.86260798
455,2023-11-22,10010770.353656987
456,2023-11-24,10042225.742701007
457,2023-11-27,10064000.926348208
458,2023-11-28,10051394.767466152
459,2023-11-29,10081172.150523582
460,2023-11-30,10126623.88751537
461,2023-12-01,10217055.075045763
462,2023-12-04,10266819.620801762
463,2023-12-05,10279982.522067446
464,2023-12-06,10293661.049013777
465,2023-12-07,10276717.63359817
466,2023-12-08,10265522.777764441
467,2023-12-11,10313744.89152747
468,2023-12-12,10367163.267537719
469,2023-12-13,10412595.001809135
470,2023-12-14,10558770.437223908
471,2023-12-15,10581207.9331678
472,2023-12-18,10619795.403285958
473,2023-12-19,10614583.583367338
474,2023-12-20,10673843.86498786
475,2023-12-21,10589975.792263305
476,2023-12-22,10625237.254488833
477,2023-12-26,10641347.223222356
478,2023-12-27,10673414.91776215
479,2023-12-28,10714067.113127386
480,2023-12-29,10725477.553836212
481,2024-01-02,10686955.648190377
482,2024-01-03,10704881.419428598
483,2024-01-04,10646861.306471014
484,2024-01-05,10655446.918558702
485,2024-01-08,10619007.51835583
486,2024-01-09,10674817.33071253
487,2024-01-10,10683169.577729236
488,2024-01-11,10738424.870226795
489,2024-01-12,10758597.61371991
490,2024-01-16,10666279.502901284
491,2024-01-17,10606060.201965246
492,2024-01-18,10611450.935104951
493,2024-01-19,10688742.55787676
494,2024-01-22,10787472.651836205
495,2024-01-23,10798919.764199043
496,2024-01-24,10803352.589285476
497,2024-01-25,10771262.66950083
498,2024-01-26,10812259.356161326
499,2024-01-29,10843310.245748978
500,2024-01-30,10895200.636175409
