date,dji
2024-02-20,10974295.837567244
2024-02-21,10947952.254839992
2024-02-22,11050801.797933407
2024-02-23,11131247.182950215
2024-02-26,11136032.27816761
2024-02-27,11119847.854863819
2024-02-28,11077226.50280438
2024-02-29,11098753.87497144
2024-03-01,11091858.492755016
2024-03-04,11085957.690245874
2024-03-05,11068379.74408964
2024-03-06,11015513.665414052
2024-03-07,11033479.442093013
2024-03-08,11031345.818586884
2024-03-11,11000169.356365798
2024-03-12,11061648.828685146
2024-03-13,11110368.787932936
2024-03-14,11129660.30046753
2024-03-15,11040690.422786389
2024-03-18,11045606.646948429
2024-03-19,11043524.141505467
2024-03-20,11115339.463944873
2024-03-21,11282894.473648418
2024-03-22,11315048.846643142
2024-03-25,11211633.671068156
2024-03-26,11191088.65472371
2024-03-27,11226267.883543273
2024-03-28,11312112.89179773
2024-04-01,11324684.601550255
2024-04-02,11167746.591314197
2024-04-03,11134553.188122474
2024-04-04,11192591.081275942
2024-04-05,10999534.825625174
2024-04-08,11071065.664930431
2024-04-09,11090193.821915336
2024-04-10,10998766.943415415
2024-04-11,10959218.231457256
2024-04-12,10901149.222960988
2024-04-15,10831803.12522503
2024-04-16,10808145.46333857
2024-04-17,10796041.594990252
2024-04-18,10766893.186362235
2024-04-19,10754025.880853128
2024-04-22,10843612.509079013
2024-04-23,10911655.096204195
2024-04-24,10967618.2627504
2024-04-25,10825177.779733598
2024-04-26,10842989.090960816
2024-04-29,10890628.903308628
2024-04-30,10906343.262683725
2024-05-01,10766423.12243354
2024-05-02,10831879.802319782
2024-05-03,11012159.875965353
2024-05-06,11027257.48479571
2024-05-07,11054713.441027978
2024-05-08,11043321.891777283
2024-05-09,11113125.829557264
2024-05-10,11227559.17026938
2024-05-13,11263051.775041407
2024-05-14,11227628.06852843
2024-05-15,11269828.252197856
2024-05-16,11354387.530037418
2024-05-17,11354210.839340817
2024-05-20,11376412.747689242
2024-05-21,11323680.020482784
2024-05-22,11340444.522677306
2024-05-23,11292543.563702442
2024-05-24,11120226.795288604
2024-05-28,11103088.90898051
2024-05-29,11014129.032659551
2024-05-30,10915148.904695481
2024-05-31,10850261.191077542
2024-06-03,11012338.78918644
2024-06-04,10957965.838909646
2024-06-05,11030782.408629796
2024-06-06,11045171.03214926
2024-06-07,11055366.863226732
2024-06-10,11033649.465216158
2024-06-11,11036725.439104162
2024-06-12,11080802.544701636
2024-06-13,11002988.628675723
2024-06-14,10960677.318782022
2024-06-17,10971143.186584486
2024-06-18,11032005.908359094
2024-06-20,11039291.343622733
2024-06-21,11154160.299134014
2024-06-24,11147326.036340943
2024-06-25,11208290.994241882
2024-06-26,11112806.897293588
2024-06-27,11125310.820049303
2024-06-28,11121125.806443008
2024-07-01,11147812.769203277
2024-07-02,11125637.53114868
2024-07-03,11196957.23062781
2024-07-05,11183998.801614799
2024-07-08,11206354.064152723
2024-07-09,11196508.280681727
2024-07-10,11172349.439523775
2024-07-11,11292609.128174765
2024-07-12,11317672.536798337
2024-07-15,11418697.387289116
2024-07-16,11454366.682757745
2024-07-17,11624712.071952896
2024-07-18,11708346.77960647
2024-07-19,11547839.395046616
2024-07-22,11497240.29134629
2024-07-23,11505559.200495712
2024-07-24,11439245.737420289
2024-07-25,11330573.180174725
2024-07-26,11419397.482502066
2024-07-29,11568708.899965951
2024-07-30,11556310.547123298
2024-07-31,11598058.44705991
2024-08-01,11640185.287421312
2024-08-02,11400754.947117252
2024-08-05,11110827.739239205
2024-08-06,11019800.915146682
2024-08-07,11160298.911763111
2024-08-08,11077881.036265375
2024-08-09,11210928.01954399
2024-08-12,11253018.18825138
2024-08-13,11221513.903668676
2024-08-14,11322596.539796079
2024-08-15,11463457.919165896
2024-08-16,11529776.938552532
2024-08-19,
