,account_value,date,daily_return,datadate
357,9845053.976030435,2023-07-06,-0.0054874853532635,2023-07-06
358,9820020.134835782,2023-07-07,-0.0025427835393897,2023-07-07
359,9911584.855037617,2023-07-10,0.0093242904744172,2023-07-10
360,9927426.10908501,2023-07-11,,2023-07-11
361,9966838.524666844,2023-07-12,0.0039700537832021,2023-07-12
362,9998621.712328,2023-07-13,0.003188893607787,2023-07-13
363,9990767.078186205,2023-07-14,-0.0007855716885568,2023-07-14
364,10033987.047270628,2023-07-17,0.0043259910621666,2023-07-17
365,10049108.473523011,2023-07-18,0.0015070207068381,2023-07-18
366,10075564.485613022,2023-07-19,0.0026326725559502,2023-07-19
367,10095100.852235714,2023-07-20,0.0019389848231916,2023-07-20
368,10137892.011845447,2023-07-21,0.0042388045682828,2023-07-21
369,10124160.003688153,2023-07-24,-0.0013545230252256,2023-07-24
370,10122684.122471884,2023-07-25,-0.0001457781401844,2023-07-25
371,10073033.575959392,2023-07-26,-0.004904879566702,2023-07-26
372,10063355.114634268,2023-07-27,-0.00096082885579,2023-07-27
373,10114292.08832824,2023-07-28,0.0050616293585721,2023-07-28
374,10120218.441577123,2023-07-31,0.00058593851128,2023-07-31
375,10080806.841081817,2023-08-01,-0.0038943428664931,2023-08-01
376,10091920.439042158,2023-08-02,0.0011024512358526,2023-08-02
377,10000567.048695777,2023-08-03,-0.0090521314449693,2023-08-03
378,9944979.996720145,2023-08-04,-0.0055583900097828,2023-08-04
379,10019073.98606772,2023-08-07,0.0074503909884195,2023-08-07
380,9999386.87436957,2023-08-08,,2023-08-08
381,9996025.015109193,2023-08-09,-0.0003362065397223,2023-08-09
382,10001883.937360013,2023-08-10,0.0005861252089669,2023-08-10
383,9995330.93702382,2023-08-11,-0.0006551766024514,2023-08-11
384,10006072.65878752,2023-08-14,0.0010746739484042,2023-08-14
385,9951647.798783086,2023-08-15,-0.0054391829702171,2023-08-15
386,9847899.956743032,2023-08-16,-0.0104251923036043,2023-08-16
387,9819117.05566564,2023-08-17,-0.0029227450729415,2023-08-17
388,9833755.903323265,2023-08-18,0.001490851730826,2023-08-18
389,9893669.93060214,2023-08-21,0.0060926901041575,2023-08-21
390,9878181.37081433,2023-08-22,-0.0015655019721146,2023-08-22
391,9935589.87763675,2023-08-23,0.0058116473738816,2023-08-23
